GAME_DATE_EST,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
4281,2022,103.0,0.42,0.65,0.2,18.0,55.0,109.0,0.433,0.808,0.286,23.0,52.0,0
4281,2022,109.0,0.461,0.789,0.308,26.0,29.0,101.0,0.425,0.6,0.346,17.0,59.0,1
4281,2022,126.0,0.523,0.846,0.424,28.0,52.0,108.0,0.477,0.684,0.289,29.0,30.0,1
4281,2022,119.0,0.511,0.667,0.333,17.0,52.0,111.0,0.446,0.76,0.27,27.0,44.0,1
4281,2022,120.0,0.53,0.75,0.531,30.0,42.0,100.0,0.42,0.778,0.293,18.0,39.0,1
4281,2022,132.0,0.527,0.905,0.455,22.0,46.0,113.0,0.5,0.818,0.16,21.0,35.0,1
4281,2022,125.0,0.556,0.75,0.438,24.0,46.0,112.0,0.398,0.778,0.333,16.0,39.0,1
4281,2022,137.0,0.505,0.862,0.372,28.0,58.0,114.0,0.4,0.733,0.324,28.0,47.0,1
4281,2022,128.0,0.495,0.692,0.378,28.0,48.0,109.0,0.467,0.81,0.333,21.0,45.0,1
4280,2022,110.0,0.506,0.65,0.333,28.0,30.0,140.0,0.563,0.762,0.457,31.0,51.0,0
4280,2022,116.0,0.462,0.63,0.341,21.0,39.0,113.0,0.477,0.783,0.256,27.0,50.0,1
4280,2022,112.0,0.467,0.733,0.486,24.0,43.0,118.0,0.461,0.821,0.419,26.0,48.0,0
4279,2022,104.0,0.453,0.889,0.357,23.0,37.0,101.0,0.5,0.682,0.444,26.0,42.0,1
4279,2022,142.0,0.571,0.852,0.484,31.0,34.0,127.0,0.5,0.857,0.259,20.0,45.0,1
4279,2022,140.0,0.591,0.857,0.462,40.0,39.0,105.0,0.488,0.667,0.379,28.0,37.0,1
4279,2022,109.0,0.543,0.857,0.321,20.0,42.0,102.0,0.475,0.591,0.419,18.0,35.0,1
4279,2022,100.0,0.44,0.824,0.429,23.0,45.0,88.0,0.378,0.813,0.184,21.0,47.0,1
4279,2022,105.0,0.448,0.9,0.281,21.0,49.0,101.0,0.37,0.913,0.316,16.0,47.0,1
4279,2022,129.0,0.568,0.85,0.4,31.0,43.0,113.0,0.459,0.76,0.364,25.0,37.0,1
4279,2022,107.0,0.482,0.4,0.388,30.0,45.0,114.0,0.462,0.88,0.273,21.0,50.0,0
4279,2022,117.0,0.523,0.889,0.36,32.0,37.0,122.0,0.532,0.857,0.313,26.0,45.0,0
4279,2022,115.0,0.43,0.774,0.355,23.0,57.0,116.0,0.41,0.813,0.347,29.0,49.0,0
4278,2022,111.0,0.526,0.778,0.429,27.0,38.0,97.0,0.443,0.682,0.364,27.0,42.0,1
4278,2022,114.0,0.443,0.759,0.4,22.0,31.0,137.0,0.575,0.85,0.426,36.0,47.0,0
4278,2022,114.0,0.447,0.75,0.188,33.0,62.0,100.0,0.383,0.826,0.214,23.0,39.0,1
4278,2022,98.0,0.398,0.947,0.278,24.0,42.0,106.0,0.488,0.895,0.273,28.0,46.0,0
4278,2022,130.0,0.55,1.0,0.471,25.0,38.0,121.0,0.537,0.788,0.25,23.0,29.0,1
4278,2022,94.0,0.456,0.538,0.286,14.0,36.0,102.0,0.429,0.848,0.286,14.0,41.0,0
4278,2022,123.0,0.506,0.833,0.333,30.0,42.0,127.0,0.484,0.742,0.375,32.0,50.0,0
4278,2022,103.0,0.456,0.76,0.3,21.0,26.0,133.0,0.649,0.815,0.407,32.0,43.0,0
4278,2022,124.0,0.558,0.733,0.459,28.0,40.0,115.0,0.513,0.64,0.415,23.0,32.0,1
4277,2022,105.0,0.432,0.808,0.308,20.0,48.0,100.0,0.479,0.792,0.282,28.0,34.0,1
4277,2022,118.0,0.523,0.714,0.5,25.0,53.0,105.0,0.392,0.826,0.227,19.0,41.0,1
4277,2022,138.0,0.505,0.7,0.486,33.0,47.0,143.0,0.58,0.865,0.515,25.0,39.0,0
